Application_ID,Ideas
1,A global network of hydrophones with built in low powered AI audio classifiers could be used to monitor the global movements of marine organisms. It would also be able to triangulate identify areas of high noise pollution.  
2,Audio Language Models for Bioacoustics Recognition
3,"Audio recognition of individuals. As species recognition from audio improves rapidly (e.g. for birds, bats), can we think about distinguishing individuals within a species from their calls? Noting that (a) voice recognition in humans is well-understood (from 'voiceprint' vectors), and (b) many species are observed to recognise individuals from their calls (therefore the signal processing is possible). A potential application of such a capability might be counting of individuals within a local population (e.g. at small scale for use in forest canopy, or even at larger scale e.g. night-time migration, combined with supervised learning and probabilistic counting methods)."
4,"Distributed Acoustic Sensing (DAS) can sense sound in real time along the dense network of fibre-optic telecommunication cables that cover both deep ocean and coastal areas around the globe. It can enable audio recognition of cetaceans, seals and human activities (vessel traffic, deep-sea mining etc.) even in the most remote oceanic areas. Seamounts rising to a few hundred meters below the sea surface are known to promote biological productivity of the ocean. Audio recognition of vocal species using optical fiber cables and DAS may be the only realistic way of monitoring these remote oceanic oases of productivity. The network of optical fiber cables for telecommunication makes it possible to upscale the distribution of audio recorders.  "
5,"There is a potential for substantial improvements in global distribution data and monitoring change through the large scale operation of auditory monitoring, perhaps with solar power for long term use. The challenge is to find means of creating the network. Options include working with other organisations with a global network or establising before developments take place to monitor consequences. "
6,"Currently those citizen scientists who contribute data just receive acknowledgement. An option is for bespoke feedback identifying the most interesting aspect of the submitted data. The aim is the encopurage further use, minimise errors by identifying unusual features and increase the knowledge of the users. "
7,"Learning where we need more data: citizen science data especially is very biased spatially at the moment, but can we generate maps that predict where we should focus data gathering efforts to maximise the probability of interesting new observations "
8,"Discovering species in data. Current AI methods for classifying what species are present in an image or an audio recording typically require a pre-defined set of species that may be present to be known in advance. There is potential for recently introduced ""category discovery"" methods to be applied here. These methods aim to discover novel concepts in data (e.g. a previously undescribed species). "
9,Detecting and enforcing wildlife crime is increasingly based on intelligence gathering activities that could benefit from AI.  AI would enable better scouring of electronic resources (like  the internet) to identify individuals buying/selling CITES listed organisms and do so rapidly so that enforcement activity can be effective.  AI can also be harnessed to scan satellite imagery looking for real-time poaching activities to aid in directing enforcement teams.
10,"Monitor online wildlife trade. Computer vision (i.e., automatic processing and understanding of images) and natural language processing (i.e., automatic processing of textual content), as well as multimodal machine learning (i.e., automatic processing of multiple sources of information, such as text, images, and audio) can be used to understand where, when, how, why, and what species and wildlife products are being traded on which online platforms.    "
11,"Taking the temperature of society on conservation-relevant issues: Social media is a treasure trove of data reflecting what people are talking about, what their concerns are with a high temporal resolution. It is often possible to extract data on location at quite fine spatial resolution and it can be possible to extract other covariates. This enormous source of data is already being mined using AI, for example carrying out sentiment analysis surrounding an issue following an event. However it seems likely to have as yet unmined potential for conservation. For example, anticipating changes in demand for certain illegally traded species, evaluating the impact of awareness-raising or fund-raising campaigns…. "
12,"AI for monitoring the movement of invasive species and illegally traded species across the global trade network, given the lack of human resources for inspecting containers. Data on when invasives or illegally trafficked wildlife are found at ports of entry could be linked to exporting country, time of year, type of shipment (flowers/timber/cars etc,), exporting company, type of container among other metadata to try and identify which future containers should be highlighted for closer inspection."
13,Dealing with data sparsity using methods from recommender systems. A key challenge in species / ecosystem monitoring is data sparsity. But there is some commonality here with recommender systems used by Internet companies to predict user preferences. Such recommender systems achieve a high level of success by combining data across all users and exploiting hidden correlations (e.g. using collaborative filtering). Can similar approaches benefit species / ecosystem monitoring?
14,"To improve ecosystem services assessment (i.e. extent, flow/provision, valuing) by integrating field, remote sensing and market data. "
15,To improve the traceability of supply chain models
16,"Track the changes in ecosystem health. Identify key indicators for different ecosystems and can utilize high temporal-spatial remote sensing and other data to identify the changes in ecosystem health, or increasing pressures (climatic factors, visitation, fires, market needs) and send out early warnings for better intervention. "
17,"Using AI to better understand species' distributions. Currently, our understanding of species' distributions is based on extremely patchy sampling and incomplete knowledge of species' ecology. AI could improve models of species' distributions by integrating data on specimen locations, citizen science observations, images on social media, environmental and ecological data, remote sensing data and other spatial datasets on human impacts."
18,"Using AI to detect emerging threats to species (e.g. through online wildlife trade, spread of invasive alien species, documentation on social media of novel impacts) and sites of biodiversity importance (e.g. through detecting habitat loss (particularly beyond forests and fires, where this is already happening effectively), human encroachment (e.g. through the spread of roads, dwellings), infrastructure (powerlines, fences, coastal development) etc, and relating these to the sensitivity of the biodiversity features for which the site is important). 
"
19,"
Human-animal conflicts which contribute to negative and drastic decision-making based on social fears have been one of the major obstacles for wildlife conservation, especially around mammals. Mammals are often registered as protected species or “natural monuments”, however, even these highest social protections could be removed when the incidents of the conflicts are reported repeatedly in the media.

The number of incidents of human-animal conflicts has increased dramatically over the past years (WWF 2021). This is due to the climate and landuse change causing drastic impacts on their habitats and food provisions. For example, there were 8,839 wild bear sighting in residential areas in Japan between April and October 2023, with 5 death and 180 injuries. This is said to be due to the nation wide acorn crop failure due to the unusally hot summer. Warm winter means that wild bears also did not hibernated long enough to rest. The increase of abondoned agricultural lands due to the population declines, and unharvested fruit trees in villages exasibated the situation.  

AI cameras are already in use in different countries to track mammals, and warn communities when they are in vicinity. In the future, combinations of data on environmental and anthropogenic drivers will happen including: climate predictions, food growth predictions, alternative food existence, patterns of animal migrations, locations of past human-animal conflicts, land use change, existence of buffer zones, existence of registered hunters, abandoned farmlands, sighting of animals by citizens. 

AI with combined short and long term data sets will provide not only more accurate predictions with less panic in society, as well as opportunities to take measures as early as possible, including planting different types of trees with nuts to become alternative wild food for animals. 

Reference: 
Dertien, J. S., Negi, H. et al. (2023) Mitigating human-wildlife conflict and monitoring endangered tigers using a real-time camera-based alert system, BioScience, 73(10): 1-10.
World Economic Forum (2024) AI in conservation: Where we came from – and where we are heading. 
WWF (2021) A future for all: The need for human-wildlife coexistence. WWF"
20,"Establishing causality of interventions using multimodal data: can we use lots of different modality of sensing (e.g. camera, acoustics, plotting) to identify ecological invariants that hold true across all of the different views. This in turn will help validate causation of interventions"
21,"Adaptive management of protected areas and dynamic monitoring. While many protected areas have been established, but most of them lack the capacity to turn data into information to facilitate better management. AI can help to automatically generate monitoring reports, and identify data gaps and notable trends that are worth further investigation. It ideally can identify a new monitoring framework for the next management cycle (including sampling methods, monitoring locations and ) addressing the data needs for the evaluation of new interventions and threats."
22,"Preventing poaching in protected areas.  AI technology is already being used to help catch poachers and combat wildlife poaching.  Examples include predictive analytics (e.g. Protection Assistant for Wildlife Security) that use machine learning on historical poaching data to predict areas of high risk and optimise patrol routes for ranger;  anti-poaching cameras to detect humans in motion-triggered images and send alerts to park authorities;  and facial recognition to distinguish known rangers from unknown individuals who could be potential poachers.  AI may improve effectiveness,  but major ethical issues need to be urgently addressed, such as the ethics of excluding local people from ancestral lands using fortress conservation approaches, and the risks of alienating local people from wildlife conservation."
23,"Federated AI learning: given multiple ""data islands"" which cannot be shared (e.g. species observations across IBAT partners and hunting data from TRAFFIC), can we train a distributed model which is a representation of the underlying raw data but still be representative and useful? this would allow the unification of the world's biodiversity databases into models which can be shared without leaking the raw data."
24,"Dataset subselection methods to enable efficient fine-tuning for specific conservation use cases from large public datasets, including useful remapping of similar categories and/or automated category granularity selection for optimal robustness."
25,"Open-ended text-based query from multimodal conservation data, moving towards more interactive AI systems without needing large supervised training sets to build models that can find relevant data for each possible scientific question. It will also open up access to secondary data in ecological data collections (backgrounds of images, species interactions, behaviors, etc)"
26,"An individual's environmental cumulative annual footprint could be calculated from online purchases such as travel, food and other items."
27,"Better field to fork maps: our supply chain data for food is currently port to port, but there is a long path from field to port.  we could use reinforcement learning to map out likely routes that production from every pasture/field will take to get to a port for exports, and thus map out danger areas (""ghost roads"") where it impinges on nature"
28,"Exploration of financial markets to determine investment portfolios most likely to result in net nature-positive outcomes, and that provide a specified risk and return for the investor."
29,"The combining of data on changes combined with citizen science data and automated data means can produce bespoke accounts of diversity either regularly or on demand according to the specific interests of the reader. For example, some may be interested in global environmental changes with another concerned about local wildlife and what has been seen recently. "
30,AI supporting the translation of data to actionable insights in real time on multi modal data platforms This is happening to some degree already but this is yet to happen at scale in real-time.
31,"Automated biodiversity monitoring networks emerge to close the biodiversity data gaps; streams from multi-mode sources like imaging (camera traps, satellite), eDNA, and bioacoustics, are streamlined into harmonized and meaningful metrics that are actionable at national and the global scale."
32,"Better and closer to real-time detection of hyper-specific threats to biodiversity and changing ecosystem condition through geospatial AI/ML tools that summarise earth observation data/trends. Along with socio-economic data and supply chain information, this could lead to higher and more immediate accountability for those causing harm, and could lead to something of a reckoning."
