Application_ID,Issue_Number,Category,Title,Issue
1,Issue 1,Audio,Audio Recognition for individuals,"Audio recognition of individuals. As species recognition from audio improves rapidly (e.g. for birds, bats), can we think about distinguishing individuals within a species from their calls? Noting that (a) voice recognition in humans is well-understood (from 'voiceprint' vectors), and (b) many species are observed to recognise individuals from their calls (therefore the signal processing is possible). A potential application of such a capability might be counting of individuals within a local population (e.g. at small scale for use in forest canopy, or even at larger scale e.g. night-time migration, combined with supervised learning and probabilistic counting methods)."
2,Issue 2,Audio,Distributed Acoustic Sensing,"A global network of hydrophones with built in low powered AI audio classifiers could be used to monitor the global movements of marine organisms. It would also be able to triangulate identify areas of high noise pollution.  

AND

30= Ranked: Issue_ID: 4

Distributed Acoustic Sensing (DAS) can sense sound in real time along the dense network of fibre-optic telecommunication cables that cover both deep ocean and coastal areas around the globe. It can enable audio recognition of cetaceans, seals and human activities (vessel traffic, deep-sea mining etc.) even in the most remote oceanic areas. Seamounts rising to a few hundred meters below the sea surface are known to promote biological productivity of the ocean. Audio recognition of vocal species using optical fiber cables and DAS may be the only realistic way of monitoring these remote oceanic oases of productivity. The network of optical fiber cables for telecommunication makes it possible to upscale the distribution of audio recorders.  "
3,Issue 3,Reviewing Literature,Large language models for evidence synthesis,"Enabling near real-time evidence synthesis. Conservation decisions are ideally based on the synthesis of the best available evidence.  Yet, most evidence syntheses done in the conservation space are static and fail to incorporate new evidence as it is generated (i.e., published).  AI has the potential be harnessed to identify relevant (new) evidence and integrate it into the existing evidence base and synthesize key messages.  Doing so will ensure decision makers have access to the best available evidence to guide them.

AND

7th Rank: Idea_ID 92
AI to accelerate and improve evidence synthesis in conservation

Evidence syntheses for biodiversity conservation are key for effective decision-making, yet are challenged by increasingly time-consuming tasks, a broad evidence base, and persistent underfunding. Large language models can accelerate evidence synthesis, and thus support efficient management of the biodiversity crisis, while making these exercises more timely, equitable and inclusive in terms of the evidence base considered.

Reference

Berger-Tal, O., et al. (2024). Leveraging AI to improve evidence synthesis in conservation. Trends in Ecology and Evolution. https://doi.org/10.1016/j.tree.2024.04.007"
4,Issue 4,Reviewing Literature,Multilingual literature scanning,"Multilingual literature scanning. There are various distinct applications (e.g. species monitoring, ecosystem health monitoring, research tracking) that can benefit from recent NLP advances. These advances include Large Language Models (LLM) and their fine tuning on specified data corpora; topic models and topic specification; machine translation. Note that geographic regions important for conservation are often not English-language-speaking, and important information may be produced in local languages. Migrating species such as birds may have populations spanning many language usages. So it's desirable to take advantage of data across non-English sources, coupled with AI translation capabilities. The output of this could be a database (or databases) linking species, geo-locations, human activities etc that can be used to enrich or support specific conservation activities and analyses."
5,Issue 5,Reviewing Literature,Assessing extinction risk from diverse literature,"Using AI to support assessment of extinction risk to species by scanning the scientific literature and other materials on the internet to locate relevant information (on species population sizes, trends and distributions) in published and unpublished sources in all languages from online sources."
6,Issue 6,Reviewing Literature,Extracting training data using text mining,"Extraction of training data from literature. AI approaches are dependent on high quality training data, for biodiversity this typically means intensive field studies. Datasets such as PREDICTS aggregate results from past studies. Text mining approaches could be employed to automate harvesting static data from the literature."
7,Issue 7,Reviewing Literature,Large language models to interpret grey literature,"Using Large language models to extract and interpret data and information from grey literature and reports on the internet. Grey literature is often sparsely available and is often hidden away on ‘obscure’ governmental or institutional databases. Also, old fashioned text matching can be difficult to use as a search tool for useful information For example, some reports may refer to national parks, some in other languages like ‘parque Nacional’, and some national parks just referred to by name, e.g. ‘Doñana’. All these reports are referring to national parks, but not in a consistent way. LLMs might be able to overcome this barrier. "
8,Issue 8,Generating Text,Large language model powered conservation advisors,"LLM conservation advisors. Fine tuning and retrieval augmented generation (RAG) of large language models based on trusted data sources (conservation evidence databases, curated literature, etc.) and relevant quantitative data (e.g. geography, species, agricultural or socioeconomic) to provide more trustworthy and useful information for practitioners. This type of approach is likely to be generalizable and will appear first in more quotidian commercial applications."
9,Issue 9,Images,"Identification and monitoring of ""individuals"" from images","""Individual"" based monitoring takes off at a much wider scale. For instance, mapping and identifying individual trees automatically for a whole ecosystem/management area. Or the individual identification of animals to assess population trends/sizes. This allows for responsive monitoring and more tailored interventions (for instance, legal and trade responses in a specific region where one species of tree is disappearing)."
10,Issue 10,Images,Detection of new species,"AI to detect new species

Existing AI systems are trained to identify specific species from images collected by sensors such as camera traps. But AI workflows have recently been developed for the detection and confirmation of unknown species status, providing a new solution, for example, for the acceleration of the documentation of ‘dark diversity’. The workflow can be coupled with a motion-activated, solar-powered machine equipped with a camera and a small computer, providing opportunities to collect information in biodiversity hotspots for months at a time. The approach could also be a game changer in terms of tracking how biodiversity is reshuffling with climate change.

References

https://www.researchsquare.com/article/rs-3832815/v1

https://globalnews.ca/news/10147726/montreal-research-artificial-intelligence-new-species/"
